23841,64373,83446,38146
16689,33378,286102,38146
19073,23841,33378,61988
26226,26226,19073,59604
35762,26226,19073,64373
52452,28610,16689,78678
81062,28610,19073,92983
128746,33378,14305,107288
202655,33378,19073,123977
326633,35762,16689,135898
526905,38146,14305,152587
844001,38146,16689,166893
1356601,42915,19073,181198
2191066,50067,16689,197887
3545284,52452,16689,221729
6394386,78678,30994,255107
10745525,73909,45299,281333
15277862,69141,33378,278949
24304389,76293,40531,302791
38626194,66757,33378,312328
71156024,92983,45299,340938
101778507,90599,40531,350475
181834697,159740,83446,417232
269770622,112056,83446,402927
441811084,157356,81062,450611
750896930,176429,88214,486373
1246678829,176429,95367,495910
1857831478,152587,73909,660419
3026297092,190734,88214,531673
4974799156,193119,100135,555515
7872416973,193119,92983,572204
13017408847,195503,97751,586509
20949664115,202655,104904,607967
33402140140,200271,100135,624656
